id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
114,M,1.6375,1.3125,0.425,41.7588135,17.27902025,8.2497045,11.4815475,15.0
115,M,1.5875,1.25,0.4375,38.22930075,17.19397175,8.448151,9.4403835,11.0
116,I,0.95,0.8,0.25,8.63242275,3.40194,1.88524175,2.4097075,8.0
117,F,1.2875,1.025,0.35,20.79435825,7.75358825,4.57844425,7.2291225,13.0
118,M,1.2875,0.9875,0.3125,18.71067,8.051258,3.89805625,4.819415,11.0
119,I,0.875,0.6625,0.225,5.5848515,2.19708625,0.963883,1.70097,7.0
120,I,1.3,1.025,0.375,20.0997955,8.71747125,4.1106775,5.3580555,8.0
121,I,0.6,0.4375,0.15,1.71514475,0.58116475,0.396893,0.56699,6.0
122,M,1.575,1.1875,0.3875,30.57493575,14.5432935,6.406987,9.2135875,9.0
123,I,1.15,0.8375,0.25,13.267566,5.2446575,3.005047,3.118445,8.0
124,F,1.6,1.2375,0.4,34.5580405,15.0535845,7.9662095,8.788345,11.0
125,I,1.4875,1.15,0.375,27.76833525,12.133586,5.79747275,8.23552975,9.0
126,M,1.375,1.0625,0.325,23.0481435,9.6671795,5.71242425,6.520385,9.0
127,I,0.925,0.6625,0.225,6.577084,2.6365035,1.6159215,2.1829115,7.0
128,M,1.6625,1.275,0.4,33.8776525,14.72756525,8.43397625,9.4970825,12.0
129,F,1.6,1.25,0.4125,40.9083285,14.33067225,6.98815175,11.3681495,17.0
130,I,0.6875,0.5,0.175,3.40194,1.65844575,0.7654365,0.7654365,5.0
131,M,0.9,0.6875,0.25,6.8322295,2.6365035,1.6726205,2.1262125,9.0
132,M,1.3125,1.075,0.35,21.1203775,9.56795625,5.25883225,5.953395,9.0
133,I,0.925,0.7125,0.225,7.49844275,3.13261975,1.63009625,2.1262125,7.0
134,M,1.55,1.2,0.3875,30.8726055,14.10387625,6.13766675,8.77417025,11.0
135,M,1.6125,1.25,0.4375,34.8415355,17.42076775,7.18659825,9.4970825,9.0
136,I,1.375,1.0625,0.35,22.4244545,10.77281,4.8477645,6.39281225,8.0
137,I,0.75,0.575,0.2375,3.98310475,1.54504775,0.80796075,1.190679,6.0
138,I,0.925,0.675,0.225,5.8116475,1.68679525,1.2190285,1.984465,6.0
139,I,1.175,0.9375,0.3,15.83319575,6.4353365,3.9405805,6.23689,9.0
140,M,1.525,1.175,0.4,31.70891575,14.061352,7.72523875,8.788345,11.0
141,I,0.925,0.7,0.2375,7.6260155,3.75630875,1.7293195,2.1262125,8.0
142,M,1.5125,1.1875,0.4625,26.26581175,11.736693,5.3013565,10.6310625,8.0
143,M,1.4875,1.125,0.4625,32.2333815,11.69416875,6.25106475,9.922325,17.0
144,M,1.25,0.975,0.325,18.01610725,8.29222875,3.98310475,4.53592,9.0
145,M,1.525,1.1875,0.4125,31.6096925,13.380964,7.78193775,8.15048125,9.0
146,F,1.525,1.125,0.4,29.1716355,13.5794105,6.16601625,7.087375,12.0
147,F,1.5,1.175,0.4,28.81726675,11.9351395,6.2652395,8.788345,10.0
148,I,0.8875,0.6625,0.225,5.42892925,2.14038725,1.51669825,1.984465,5.0
149,F,1.1,0.8625,0.3,11.7083435,5.3013565,1.7860185,3.5436875,8.0
150,I,1.125,0.875,0.275,13.53688625,5.96756975,2.5231055,3.345241,8.0
151,I,1.1625,0.8625,0.275,12.68640125,6.0384435,2.36718325,3.685435,7.0
152,M,1.625,1.3125,0.4625,36.4291075,14.74174,9.979024,10.489315,20.0
153,F,1.5625,1.225,0.4875,36.86852475,13.9196045,8.3064035,10.0640725,11.0
154,M,1.55,1.1875,0.4625,33.43823525,10.716111,5.8683465,10.9145575,16.0
155,I,0.925,0.6875,0.2125,5.31553125,2.778251,1.13398,1.644271,6.0
156,M,1.425,1.1375,0.4125,25.0326085,10.77281,6.36446275,8.3631025,11.0
157,I,1.125,0.8875,0.3125,14.81261375,6.13766675,4.32329875,3.96893,8.0
158,M,1.675,1.3625,0.4625,43.6865795,18.937466,11.60912025,11.793392,11.0
159,M,1.5875,1.275,0.375,29.97959625,13.04077,5.62737575,8.6465975,10.0
160,M,1.675,1.35,0.45,51.55356575,19.731252,9.1001895,12.757275,13.0
161,I,0.4375,0.3,0.1125,0.75126175,0.35436875,0.226796,0.2551455,4.0
162,F,1.75,1.4375,0.45,51.49686675,22.055911,10.262519,11.90679,13.0
163,I,0.875,0.675,0.225,5.82582225,2.0128145,1.63009625,1.757669,7.0
164,I,0.9,0.675,0.2,5.443104,2.2963095,1.5025235,1.984465,6.0
165,I,0.875,0.65,0.225,6.10931725,2.6932025,1.00640725,1.984465,6.0
166,I,1.0625,0.8125,0.2625,10.33339275,4.97533725,1.8994165,2.9766975,8.0
167,F,1.5375,1.1875,0.425,30.91512975,10.829509,6.56290925,10.0640725,10.0
168,M,1.2625,1.0125,0.2875,15.9607685,7.98038425,3.572037,5.2446575,9.0
169,F,1.65,1.325,0.4375,44.91978275,20.34076625,8.901743,11.55242125,10.0
170,I,0.825,0.575,0.2,4.80524025,2.45223175,0.72291225,1.304077,6.0
171,I,0.45,0.3125,0.1,0.69456275,0.26932025,0.226796,0.226796,4.0
172,F,1.5,1.2,0.4,29.44095575,12.94154675,6.4353365,7.7961125,12.0
173,M,1.55,1.2,0.4125,32.95629375,15.06775925,7.95203475,9.355335,9.0
174,M,1.45,1.1625,0.4,31.18445,11.1413535,6.350288,11.3398,16.0
175,I,0.775,0.575,0.1875,3.6003865,1.2190285,0.83631025,1.13398,6.0
176,I,1.2625,0.9625,0.325,18.21455375,8.40562675,3.86970675,4.63514325,8.0
177,I,1.05,0.8,0.25,11.8217415,5.1312595,2.551455,2.83495,7.0
178,M,1.625,1.225,0.4125,31.65221675,11.2547515,7.7961125,9.07184,10.0
179,F,1.5,1.175,0.4,28.76056775,12.927372,6.44951125,8.6465975,9.0
180,I,0.875,0.6625,0.175,5.42892925,2.14038725,1.13398,1.70097,6.0
181,M,1.3625,1.075,0.375,20.638436,8.34892775,4.32329875,6.6621325,10.0
182,F,1.55,1.2,0.375,32.6869735,15.03940975,6.90310325,9.355335,9.0
183,F,1.4375,1.1375,0.4125,25.2027055,11.0846545,5.99591925,6.7755305,9.0
184,M,1.5125,1.1875,0.4125,39.179009,16.4710595,8.34892775,10.489315,9.0
185,M,1.4625,1.2,0.4125,32.02076025,15.025235,6.67630725,8.9300925,10.0
186,M,1.35,1.1,0.3625,24.777463,9.6671795,5.99591925,7.37087,12.0
187,F,1.4625,1.125,0.3875,21.829115,8.7599955,5.42892925,7.2291225,12.0
188,I,0.9625,0.75,0.2125,7.10154975,3.458639,1.51669825,2.26796,7.0
189,M,1.55,1.175,0.4375,27.385617,11.396499,4.8477645,9.2135875,10.0
190,M,1.225,0.9125,0.3375,14.2030995,6.36446275,3.628736,4.592619,10.0
191,I,0.9125,0.675,0.25,6.3219385,2.83495,1.190679,1.8427175,6.0
192,M,1.675,1.3125,0.4625,38.68289275,15.97494325,9.51125725,10.6310625,11.0
193,F,1.575,1.2125,0.425,33.6508565,16.03164225,6.67630725,8.7599955,9.0
194,I,1.05,0.8125,0.225,8.845044,3.69960975,1.70097,2.4664065,7.0
195,M,1.2875,0.9875,0.3375,18.71067,7.087375,3.7137845,6.6621325,11.0
196,I,1.325,1.0625,0.3625,21.70154225,10.61688775,4.74854125,6.23689,9.0
197,I,1.1375,0.8875,0.3125,12.74310025,5.28718175,2.5231055,4.6776675,8.0
198,F,1.8375,1.375,0.5125,53.4388075,26.97454925,12.47378,13.891255,11.0
199,M,1.4625,1.125,0.3625,27.91008275,7.92368525,6.19436575,8.221355,17.0
200,M,1.5,1.175,0.3625,25.8830935,10.035723,5.17378375,8.1930055,13.0
201,F,1.3125,1.025,0.3,22.43862925,9.2702865,4.932813,6.0951425,10.0
202,M,1.3,1.05,0.3375,18.313777,6.84640425,4.57844425,5.8116475,8.0
203,I,1.025,0.75,0.25,8.618248,3.6570855,1.7293195,2.4097075,8.0
204,I,1.1,0.85,0.3,13.2392165,6.293589,2.8066005,3.2601925,8.0
205,M,1.5375,1.2,0.4625,29.596878,11.453198,6.13766675,9.922325,14.0
206,I,0.75,0.55,0.2,3.6003865,1.85689225,0.850485,1.20485375,7.0
207,F,1.6125,1.3,0.5,44.9906565,20.525038,9.62465525,9.922325,11.0
208,M,1.45,1.1,0.3125,16.31513725,7.654365,3.515338,5.0178615,9.0
209,F,1.0875,0.8125,0.3,10.41844125,4.37999775,2.9766975,3.40194,9.0
210,I,0.9875,0.7375,0.25,8.74582075,3.67126025,1.871067,2.4097075,7.0
211,M,1.4,1.1,0.3625,26.03901575,12.927372,5.45727875,8.0796075,9.0
212,M,1.4375,1.125,0.3375,24.323871,13.93377925,4.86193925,6.520385,8.0
213,I,0.9875,0.7875,0.2375,7.44174375,3.0900955,1.7293195,2.4097075,7.0
214,M,1.55,1.225,0.3875,33.38153625,14.21727425,8.37727725,8.6465975,9.0
215,F,1.175,0.9125,0.2625,15.74814725,6.67630725,3.04757125,4.9611625,8.0
216,I,0.8125,0.675,0.175,5.2446575,1.77184375,1.2757275,1.984465,6.0
217,M,1.1375,0.8625,0.3125,9.93649975,4.32329875,1.74349425,3.5436875,12.0
218,M,1.5,1.2375,0.4375,36.47163175,13.947954,8.46232575,11.056305,12.0
219,I,1.4375,1.0875,0.35,21.0069795,9.76640275,4.66349275,6.23689,8.0
220,M,1.1875,0.9125,0.2875,14.061352,6.30776375,2.36718325,3.96893,7.0
221,I,0.8,0.6,0.225,4.819415,1.587572,1.03475675,1.417475,7.0
222,I,0.9375,0.6875,0.2375,6.4353365,2.65067825,1.43164975,1.984465,6.0
223,M,1.5375,1.2375,0.4,36.7693015,16.612807,8.85921875,9.4970825,13.0
224,M,1.55,1.25,0.4375,36.27318525,16.37183625,5.93922025,10.0640725,10.0
225,M,1.575,1.225,0.4125,35.98969025,17.56251525,7.881161,8.97261675,10.0
226,M,1.45,1.1625,0.3375,29.6819265,13.2959155,7.41339425,7.5126175,9.0
227,I,0.6875,0.5,0.1875,3.67126025,1.54504775,0.94970825,0.9922325,6.0
228,F,1.175,0.95,0.3125,16.85377775,6.860579,4.09650275,5.10291,18.0
229,F,1.3,1.0,0.35,23.019794,9.68135425,5.0745605,6.80388,9.0
230,M,1.5875,1.2125,0.425,38.82464025,17.0380495,8.34892775,8.3631025,11.0
231,F,1.7,1.375,0.45,49.68249875,19.447757,8.561549,14.0330025,12.0
232,M,1.475,1.175,0.3875,27.4139665,10.73028575,4.40834725,8.9867915,14.0
233,F,1.4875,1.1875,0.4625,31.59551775,11.8784405,6.2652395,10.3475675,10.0
234,M,1.3125,1.0625,0.375,23.48756075,8.7599955,5.896696,7.2291225,10.0
235,F,1.2,0.975,0.2875,17.50581625,7.0590255,4.09650275,4.9611625,11.0
236,I,0.35,0.2625,0.0875,0.963883,0.24097075,0.1417475,0.1417475,5.0
237,M,1.2875,1.0,0.3125,17.349894,4.6776675,3.72795925,5.386405,16.0
238,M,1.475,1.1125,0.4,26.138239,10.77281,6.90310325,7.7961125,15.0
239,I,1.1,0.85,0.275,10.4609655,4.5075705,2.2396105,3.40194,8.0
240,M,1.525,1.1875,0.4375,29.48348,12.870673,6.8322295,8.788345,9.0
241,I,1.0375,0.8125,0.275,10.95708175,4.9044635,2.0128145,3.118445,8.0
242,F,1.6,1.2625,0.4,33.40988575,13.7495075,7.087375,9.05766525,11.0
243,F,1.5,1.1375,0.3625,24.56484175,11.0846545,5.386405,6.520385,11.0
244,I,1.375,1.05,0.275,23.51591025,11.4248485,5.54232725,5.6982495,9.0
245,F,1.5,1.175,0.375,27.82503425,11.4248485,6.9456275,7.087375,11.0
246,M,1.1875,0.9,0.35,16.839603,6.8322295,3.40194,5.10291,15.0
247,M,1.5,1.125,0.3875,27.37144225,12.190285,6.02426875,6.9456275,9.0
248,I,0.9375,0.725,0.25,9.25611175,4.479221,1.97029025,2.551455,7.0
249,M,1.5375,1.1375,0.375,28.08017975,14.0330025,5.783298,7.087375,12.0
250,M,1.625,1.2875,0.3875,37.98833,18.07280625,9.7805775,9.7805775,11.0
251,F,1.375,1.05,0.325,18.030282,7.24329725,4.09650275,4.97533725,8.0
252,F,1.1875,0.9375,0.3,15.3370795,5.953395,3.231843,5.2446575,14.0
253,I,1.0375,0.8125,0.25,10.24834425,4.43669675,2.08368825,2.9766975,7.0
254,M,1.575,1.225,0.4125,31.808139,13.1258185,7.7961125,8.9300925,10.0
255,I,0.475,0.35,0.0875,0.907184,0.340194,0.226796,0.283495,4.0
256,M,1.3125,1.0125,0.325,19.901349,8.46232575,4.3374735,6.23689,11.0
257,I,0.95,0.75,0.225,6.1518415,2.19708625,1.17650425,2.19708625,7.0
258,F,1.325,1.0125,0.4125,22.32523125,9.62465525,5.68407475,6.0951425,8.0
259,M,1.15,0.8875,0.3125,13.9196045,5.40057975,2.96252275,4.3941725,10.0
260,F,1.25,0.9625,0.325,16.8112535,6.066793,3.07592075,5.5281525,10.0
261,I,1.125,0.85,0.2375,10.9145575,4.23825025,2.25378525,2.9766975,8.0
262,F,1.65,1.2625,0.4125,37.0527965,13.380964,6.577084,11.90679,16.0
263,I,0.95,0.725,0.25,8.63242275,3.40194,1.587572,2.324659,7.0
264,M,1.3,1.0125,0.375,16.91047675,6.84640425,3.50116325,6.3219385,9.0
265,F,1.5375,1.225,0.4125,36.95357325,16.953001,7.27164675,9.07184,11.0
266,M,1.075,0.8,0.25,10.41844125,4.706017,2.3530085,2.9766975,7.0
267,M,1.5125,1.2,0.3875,27.499015,12.82814875,5.1879585,7.654365,10.0
268,I,1.0875,0.8375,0.25,11.169703,4.6776675,2.05533875,3.2034935,8.0
269,F,1.425,1.2,0.425,26.01066625,11.04213025,5.40057975,8.221355,12.0
270,I,0.675,0.5,0.15,2.381358,0.963883,0.32601925,0.850485,4.0
271,M,1.7,1.35,0.4875,50.972401,24.13959925,10.13494625,13.1825175,11.0
272,M,1.5375,1.15,0.45,31.808139,12.11941125,7.52679225,9.63883,12.0
273,I,1.3,1.0,0.3625,17.5483405,7.3992195,4.2240755,5.37223025,9.0
274,F,1.425,1.0625,0.3875,27.78251,12.68640125,5.9817445,9.2135875,12.0
275,M,1.325,1.0125,0.325,18.27125275,7.24329725,4.706017,5.88252125,10.0
276,M,1.425,1.1,0.3375,26.63435525,11.9351395,5.9250455,7.2291225,10.0
277,M,1.425,1.125,0.35,24.64989025,12.1619355,4.97533725,6.23689,9.0
278,I,1.25,0.95,0.3125,14.78426425,6.81805475,3.912231,4.7343665,9.0
279,F,1.2625,1.0,0.35,21.035329,7.654365,5.896696,7.087375,11.0
280,M,1.225,0.95,0.3625,18.01610725,6.8889285,4.025629,5.5281525,15.0
281,I,0.6875,0.5,0.1875,2.608154,1.17650425,0.49611625,0.86465975,5.0
282,I,1.1,0.8125,0.325,10.716111,3.798833,2.33883375,3.40194,8.0
283,M,1.3,1.0125,0.4125,19.7029025,8.4198015,4.5075705,6.0951425,10.0
284,M,1.625,1.3,0.425,39.2073585,16.2442635,8.85921875,12.757275,13.0
285,M,1.425,1.1375,0.375,33.8776525,16.0174675,6.36446275,8.6465975,10.0
286,I,0.9625,0.7,0.25,8.06543275,3.44446425,1.70097,2.4097075,7.0
287,I,1.075,0.8375,0.2625,10.41844125,4.46504625,2.041164,3.40194,9.0
288,I,1.2125,0.95,0.3125,14.3731965,5.34388075,2.6932025,4.252425,10.0
289,I,0.6875,0.5125,0.175,2.7499015,1.0489315,0.52446575,0.850485,6.0
290,M,1.4875,1.1625,0.3625,29.1149365,12.94154675,7.257472,8.221355,10.0
291,M,1.4375,1.1375,0.4,30.674159,14.04717725,6.19436575,8.50485,9.0
292,F,1.4625,1.1625,0.375,27.76833525,12.0485375,6.93145275,8.50485,13.0
293,F,1.5625,1.225,0.3875,32.95629375,13.13999325,5.59902625,12.190285,16.0
294,I,1.2125,0.975,0.25,16.9246515,7.994559,3.27436725,3.9405805,7.0
295,M,1.6125,1.275,0.4875,41.8722115,18.0586315,8.2497045,11.623295,9.0
296,I,1.1375,0.9125,0.3375,13.891255,6.4920355,3.13261975,3.288542,7.0
297,F,1.2625,1.0125,0.3,22.77882325,11.4248485,5.556502,5.2446575,8.0
298,I,1.025,0.7875,0.2625,9.1001895,3.55786225,1.85689225,2.778251,7.0
299,M,1.4875,1.125,0.4125,29.9087225,13.65028425,5.76912325,7.7961125,10.0
300,M,1.575,1.2875,0.425,35.210079,11.3681495,5.48562825,9.07184,14.0
301,F,1.05,0.85,0.2625,11.77921725,4.66349275,2.6932025,3.8271825,14.0
302,I,0.7375,0.5875,0.2,3.72795925,1.7860185,0.793786,1.417475,7.0
303,I,1.2,0.95,0.3,16.839603,7.824462,3.72795925,4.139027,9.0
304,M,1.5875,1.2125,0.425,32.6869735,14.911837,6.90310325,10.942907,11.0
305,F,1.5625,1.2125,0.425,35.3518265,17.6050395,7.66853975,10.489315,10.0
306,I,1.2125,0.9875,0.3125,14.69921575,6.81805475,3.52951275,4.6776675,8.0
307,I,1.1875,0.9375,0.2875,14.911837,6.8322295,2.93417325,4.422522,11.0
308,M,1.525,1.2,0.4375,32.92794425,14.18892475,8.391452,8.9300925,10.0
309,M,1.4375,1.125,0.3375,28.462898,12.96989625,6.90310325,8.221355,11.0
310,F,1.3875,1.1,0.3375,26.0531905,10.149121,5.71242425,8.3631025,8.0
311,M,1.5125,1.1375,0.4125,28.7180435,10.16329575,5.8683465,11.1980525,13.0
312,I,1.2625,0.9375,0.3,14.69921575,5.68407475,2.9766975,4.53592,8.0
313,F,1.2125,0.9125,0.3375,15.66309875,6.10931725,3.50116325,4.6776675,13.0
